Name,smiles
Molecule_1,Cc1cc(N)nc(NC23CC4CC(CC(C4)C2)C3)n1
Molecule_2,Nc1ncnc2c1ncn2Cc1ccccc1F
Molecule_3,COc1ccc(C2(O)OC(=O)C(c3ccc4c(c3)OCO4)=C2Cc2ccccc2)cc1OC
Molecule_4,CS[C@@H]1[C@@H](N)[C@@H](O)[C@@H](O)[C@H]1O
Molecule_5,CN1CCC23c4c5ccc(O)c4OC2[C@H](O)[C@](CO)(CCCCCc2ccccc2)CC3C1C5
Molecule_6,CC(C)C(=O)NCC(C)(C)NCC(O)COC(=O)c1ccccc1F
Molecule_7,Cc1ccc(C=C2C(=O)NC(=S)NC2=O)o1
Molecule_8,Clc1ccc(Cc2nnc(Cc3ccc(Cl)cc3)nn2)cc1
Molecule_9,CSCC[C@H](NC(=O)C1(Oc2ccc(CC(=O)Nc3cc(C)cc(C)c3)cc2)CCCC1)C(=O)O
Molecule_10,Cc1cc(NCC2CCN(CC3CCCCC3)C2)nc(Nc2ccc(Cl)cc2)n1
Molecule_11,c1ccc(C2CN3CCNCC3c3ccccc32)cc1
Molecule_12,CCC/N=c1\c(O)c(O)\c1=N/[C@@H](Cc1ccc(Oc2ncccn2)cc1)C(=O)O
Molecule_13,C/C(=C(\C#N)C(N)=O)c1ccc(Cl)cc1Cl
Molecule_14,COc1ccc2cc(C(=O)NCCCNC(=O)c3ccc4cc(OC)ccc4c3)ccc2c1
Molecule_15,CN1CCN(c2nc3ccccc3n2CCc2ccccc2)CC1
Molecule_16,CC(C)(C)c1cc(CCc2cccnc2)cc(C(C)(C)C)c1O
Molecule_17,CCc1cc(C#N)ccc1C/N=c1\c(O)c(O)\c1=N/C(C)(C)CC
Molecule_18,N#C/N=C1\N(CCCCCCOc2ccc(Cl)cc2)C(=O)CCN1c1ccncc1
Molecule_19,CC[C@H]1CC[C@@H](O)[C@@H](CO[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)N1
Molecule_20,Cc1cccc(C)c1NN=C1CCC(C)n2c1ncc(C(=O)O)c2=O
Molecule_21,CCS(=O)(=O)Nc1cccc(OCc2ccc3ccccc3c2)c1
Molecule_22,O=C(c1ccc(F)cc1)C(O)(Cn1cncn1)c1ccc(Cl)cc1
Molecule_23,O=C(O)C(Cc1c[nH]c2ccccc12)NC(=O)C(CS)C1CCc2cc(O)ccc21
Molecule_24,CCCN(CCC)c1cc(NC(=O)c2cccs2)cc(C(F)(F)F)c1
Molecule_25,c1cc2c3c(c1)OC(C1=NCCN1)CN3CC2
Molecule_26,CCCCCC(=O)c1c(O)cc(C)oc1=O
Molecule_27,FC(F)(F)[C@H]1Cc2ccc(Br)cc2CN1
Molecule_28,CCc1noc(C2=CCCNC2)n1
Molecule_29,CC(N/C(=N\C#N)Nc1ccncc1)C(C)(C)C
Molecule_30,CN(C)c1cccc2c(S(=O)(=O)Nc3cnccn3)cccc12
Molecule_31,CCCCn1c(=O)c2c(nc3n(Cc4cccs4)c(O)c(CCC)c(=O)n23)n(CCCC)c1=O
Molecule_32,Cc1cc(O)nc2cc(O)ccc12
Molecule_33,Nc1ccc(OC23CC4CC5C6CC(CC52)CC3C6C4)cc1
Molecule_34,Clc1nc(C#Cc2ccccc2)c2ncn(Cc3ccccc3)c2n1
Molecule_35,Nc1c(O)c(Cl)cc(Cl)c1Cl
Molecule_36,COc1cc(COc2ccc3c(c2)C(C)=CC(C)(C)N3)cc(OC)c1
Molecule_37,CC1(C)C=C(C(=O)NCCCNCc2ccc[nH]2)C(C)(C)N1
Molecule_38,Fc1ccc(C2=CCc3ccccc3N=C2N2CCN(Cc3ccccc3)CC2)cc1
Molecule_39,COC(=O)c1c(O)cc(O)c(Cl)c1CCC(=O)Nc1cccc(Br)c1
Molecule_40,Cn1c(=O)ccc2cc(C(=O)NCCCCCCC(=O)NO)ccc21
Molecule_41,CON(C)C1=NC(=O)/C(=C/c2cc(C(C)(C)C)c(O)c(C(C)(C)C)c2)S1
Molecule_42,O=C(O)CCCCCCCOc1ccc(NC(=O)c2c(O)nc3ccc(F)cc3c2O)cc1
Molecule_43,CCCCCC(C)=O
Molecule_44,C=CCC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)[C@H](N)c3ccc(O)cc3)[C@H]2SC1
Molecule_45,CC1(C)C=C(n2ccccc2=O)c2cc(S(=O)(=O)NCCO)ccc2O1
Molecule_46,CC1(c2ccccc2)OC(/C=C/c2ccccn2)=CC1=O
Molecule_47,NC1=NC(c2ccccc2)Cc2ccsc21
Molecule_48,COc1ccc(C2C=C(c3ccccc3)NC3=C2C(=O)CCC3)cc1
Molecule_49,Oc1nc2c(C(F)(F)F)cc(C#CCN3CCC(Cc4ccc(F)cc4)CC3)cc2[nH]1
Molecule_50,FC(F)(F)COc1ccc(Cc2ccc(NC3=NCCN3)cc2)cc1
Molecule_51,Nc1nc(N)c2nc(COc3ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc3)cnc2n1
Molecule_52,COC1=Nc2ccc(NC(=O)CCCCCCC(=O)NO)cc2C(C)(C)C1
Molecule_53,COc1c2occc2c(CO)c2ccc(=O)oc12
Molecule_54,CC(C)N(CCC(CCN(C(C)C)C(C)C)(C(N)=O)c1ccc(Cl)cc1)C(C)C
Molecule_55,CCCC(O)C(O)(Cn1cncn1)c1ccc(Cl)cc1
