Molecule smiles gap(eV)
Benzene C1=CC=CC=C1 6.622
Naph C1=CC2=C(C=C1)C=CC=C2 4.742
N4 C1=CC=C2C=C3C=C4C=CC=CC4=CC3=CC2=C1 2.732
N8 C1=CC=C2C=C3C=C4C=C5C=C6C=C7C=C8C=CC=CC8=CC7=CC6=CC5=CC4=CC3=CC2=C1 0.866
N16 C1=CC=C2C=C3C=C4C=C5C=C6C=C7C=C8C=C9C=C%10C=C%11C=C%12C=C%13C=C%14C=C%15C=C%16C=CC=CC%16=CC%15=CC%14=CC%13=CC%12=CC%11=CC%10=CC9=CC8=CC7=CC6=CC5=CC4=CC3=CC2=C1 0.685
B8 C1=CC=C(C2=CC=C(C3=CC=C(C4=CC=C(C5=CC=C(C6=CC=C(C7=CC=C(C8=CC=CC=C8)C=C7)C=C6)C=C5)C=C4)C=C3)C=C2)C=C1 3.878
B16 C1=CC=C(C2=CC=C(C3=CC=C(C4=CC=C(C5=CC=C(C6=CC=C(C7=CC=C(C8=CC=C(C9=CC=C(C%10=CC=C(C%11=CC=C(C%12=CC=C(C%13=CC=C(C%14=CC=C(C%15=CC=C(C%16=CC=CC=C%16)C=C%15)C=C%14)C=C%13)C=C%12)C=C%11)C=C%10)C=C9)C=C8)C=C7)C=C6)C=C5)C=C4)C=C3)C=C2)C=C1 3.717
ABN4 C1=CC2=C(C=C1)C1=C(C=C2)C2=C(C=CC=C2)C=C1 4.206
ABN8 C1=CC2=C(C=C1)C1=C(C=C2)C2=C(C=C1)C1=C(C=C2)C2=C(C=C1)C1=C(C=C2)C2=C(C=CC=C2)C=C1 3.909
ABN16 C1=CC2=C(C=C1)C1=C(C=C2)C2=C(C=C1)C1=C(C=C2)C2=C(C=C1)C1=C(C=C2)C2=C(C=C1)C1=C(C=C2)C2=C(C=C1)C1=C(C=C2)C2=C(C=C1)C1=C(C=C2)C2=C(C=C1)C1=C(C=C2)C2=C(C=CC=C2)C=C1 3.712
B4T C1=CC=C(C2=CC=C(C3=CC=C(C4=CC=CC=C4)C=C3)C=C2)C=C1 4.315
B8T C1=CC=C(C2=CC=C(C3=CC=C(C4=CC=C(C5=CC=C(C6=CC=C(C7=CC=C(C8=CC=CC=C8)C=C7)C=C6)C=C5)C=C4)C=C3)C=C2)C=C1 3.883
